wl,GL,G,BL,B,YL,Y,C,bkg
253.58,136.948,98.394,-355.556,-561.111,113.948,-188,486.842,472.119
253.79,159.414,83.682,-117.308,-218.269,92.259,-190.123,454.329,780.769
254,157.768,76.368,31.6,-32,114.066,-126.601,443.177,4348
254.21,151.747,82.314,30,-23,110.678,-99.167,568.085,2686.047
254.41,135.783,73.642,-23.789,-40.969,93.033,-57.941,556.176,-7700
254.62,154.72,56.818,-10.274,2.74,83.985,-51.974,621.053,2683.333
254.83,151.773,47.045,-11.321,20.755,89.4,-384.314,426.974,1491.549
255.04,150.904,49.354,6.936,66.474,91.477,-1314.815,332.828,1502.899
255.25,120,42.553,-5.556,41.453,83.811,383.846,354.344,712.5
255.46,97.128,55.875,-1.521,18.631,77.567,680.952,352.529,623.232
255.67,89.95,99.246,2.62,11.354,70.508,434.343,337.23,437.722
255.88,129.72,94.406,-13.415,-4.878,75.97,247.917,269.809,340.974
